Date,Open,High,Low,Close
Tue May 17 2022 09:40:00 GMT+0530 (India Standard Time),872,872,872,872
Tue May 17 2022 09:45:00 GMT+0530 (India Standard Time),872,872,872,872
Tue May 17 2022 09:50:00 GMT+0530 (India Standard Time),872,872,872,872
Tue May 17 2022 09:55:00 GMT+0530 (India Standard Time),872,872,872,872
Tue May 17 2022 10:00:00 GMT+0530 (India Standard Time),862,918.1,862,902.8
Tue May 17 2022 10:05:00 GMT+0530 (India Standard Time),902.45,908.95,896.3,898
Tue May 17 2022 10:10:00 GMT+0530 (India Standard Time),897.9,902.5,896,902.15
Tue May 17 2022 10:15:00 GMT+0530 (India Standard Time),902.3,905,900.15,904.35
Tue May 17 2022 10:20:00 GMT+0530 (India Standard Time),904.1,905,900,903.85
Tue May 17 2022 10:25:00 GMT+0530 (India Standard Time),903.85,904.8,902.6,903.35
Tue May 17 2022 10:30:00 GMT+0530 (India Standard Time),903.5,903.7,896.1,899.7
Tue May 17 2022 10:35:00 GMT+0530 (India Standard Time),899.9,902,897.6,901.95
Tue May 17 2022 10:40:00 GMT+0530 (India Standard Time),901.55,902,898.75,898.95
Tue May 17 2022 10:45:00 GMT+0530 (India Standard Time),899,901.95,898.95,901.9
Tue May 17 2022 10:50:00 GMT+0530 (India Standard Time),902,903,897.8,898.8
Tue May 17 2022 10:55:00 GMT+0530 (India Standard Time),898.5,900,897.9,898.2
Tue May 17 2022 11:00:00 GMT+0530 (India Standard Time),898.15,898.75,885,886.65
Tue May 17 2022 11:05:00 GMT+0530 (India Standard Time),887,887,878.1,879.4
Tue May 17 2022 11:10:00 GMT+0530 (India Standard Time),879.95,883.7,877.6,881.25
Tue May 17 2022 11:15:00 GMT+0530 (India Standard Time),881.5,884.8,876.1,884.3
Tue May 17 2022 11:20:00 GMT+0530 (India Standard Time),883.7,890,883.35,888.5
Tue May 17 2022 11:25:00 GMT+0530 (India Standard Time),889,889.85,886.35,888.7
Tue May 17 2022 11:30:00 GMT+0530 (India Standard Time),888.7,888.9,885.3,888
Tue May 17 2022 11:35:00 GMT+0530 (India Standard Time),888,888.85,885,885.4
Tue May 17 2022 11:40:00 GMT+0530 (India Standard Time),884.45,888.5,884.1,887.45
Tue May 17 2022 11:45:00 GMT+0530 (India Standard Time),887.35,893.85,887.2,892.7
Tue May 17 2022 11:50:00 GMT+0530 (India Standard Time),892.7,894.75,891.25,891.4
Tue May 17 2022 11:55:00 GMT+0530 (India Standard Time),891.25,893.85,891,893.1
Tue May 17 2022 12:00:00 GMT+0530 (India Standard Time),893.05,896.9,891.65,891.75
Tue May 17 2022 12:05:00 GMT+0530 (India Standard Time),892,893.5,890,892.8
Tue May 17 2022 12:10:00 GMT+0530 (India Standard Time),892.85,893.5,890.15,890.7
Tue May 17 2022 12:15:00 GMT+0530 (India Standard Time),890.55,891.6,887.85,891.1
Tue May 17 2022 12:20:00 GMT+0530 (India Standard Time),891.1,891.65,887.6,888.45
Tue May 17 2022 12:25:00 GMT+0530 (India Standard Time),888.7,888.85,886.3,888.85
Tue May 17 2022 12:30:00 GMT+0530 (India Standard Time),888.55,889.7,885.4,885.55
Tue May 17 2022 12:35:00 GMT+0530 (India Standard Time),885.75,889.45,885.45,889
Tue May 17 2022 12:40:00 GMT+0530 (India Standard Time),888.6,889.65,887.7,888
Tue May 17 2022 12:45:00 GMT+0530 (India Standard Time),888.2,888.8,886.65,887.15
Tue May 17 2022 12:50:00 GMT+0530 (India Standard Time),887,887.45,885.15,885.15
Tue May 17 2022 12:55:00 GMT+0530 (India Standard Time),885.35,886.6,883,886.6
Tue May 17 2022 13:00:00 GMT+0530 (India Standard Time),886.1,886.8,884.1,884.5
